formula,target
K0.15565149 Al0.1213289 P0.132343 O0.5906766,0
Y0.0051351 Ge0.3132377 Pb0.02372458 O0.65790262,1
Na0.29318297 Ti0.03738986 P0.12801599 O0.54141118,1
Mn0.08682803 V0.18200674 B0.07572814 O0.65543709,1
Cu0.0721175 P0.19464938 Pb0.08724608 O0.64598704,1
Al0.07793669 Si0.19706181 Pb0.10698642 O0.61801508,1
Ti0.14488847 Si0.12947772 Pb0.08845071 O0.6371831,1
Na0.20666793 B0.27528554 Mo0.00044607 O0.51760047,1
Ca0.11951158 Ga0.06385603 Si0.20044559 O0.6161868,1
Zn0.1110731 B0.31114152 O0.57778538,1
Na0.29739603 Al0.11248369 P0.07791335 O0.51220693,0
K0.27634885 Ti0.06518674 Si0.12997217 O0.52849224,1
Ba0.09358263 Mg0.17736228 Ge0.09358263 O0.28074789 F0.35472456,1
Mg0.03917823 Al0.09511092 B0.27354649 O0.59216435,1
Sc0.01701503 Zn0.12469658 Si0.23602309 O0.6222653,0
Ba0.05120825 Li0.22907106 Si0.18465897 O0.53506172,1
Ba0.06658275 Si0.28884614 Bi0.00011843 O0.64445268,1
La0.01137353 Mg0.44905023 Mo0.01836643 O0.52120981,1
Al0.04509252 Zn0.07059608 Si0.24869218 O0.63561922,1
Ca0.16859216 B0.25095274 P0.01012395 O0.57033115,0
Sr0.12059847 Al0.01576156 Si0.23979972 O0.62384025,1
Ti0.19384364 Bi0.12344171 Pb0.0549324 O0.62778225,0
La0.03525345 Al0.02545221 Si0.28274529 O0.65654906,1
La0.05279186 B0.25332618 Pb0.11735246 O0.57652951,1
Ca0.18586146 Ti0.07382846 Si0.13559724 O0.60471285,0
Sr0.10745797 Cd0.0004189 Si0.26141542 O0.63070771,0
Ba0.00614601 Li0.41119952 B0.14836348 O0.43429099,0
Mn0.2003401 Si0.13299324 O0.26598648 F0.40068019,1
Ba0.05014954 Li0.00514651 Si0.29732705 O0.6473769,1
Na0.16738344 Ti0.05323969 B0.23568231 O0.54369456,1
Ca0.21071462 V0.06040642 B0.14685932 O0.58201964,1
