formula,target
La0.0764 B0.3236 O0.6,1
Ti0.15107914 Ge0.09163196 Pb0.13593336 O0.62135555,0
K0.0394958 B0.35882353 Mo0.01092437 O0.5907563,1
Y0.046 Al0.0904 B0.2636 O0.6,1
K0.03066813 Si0.16922234 B0.17853231 O0.62157722,1
Mn0.07317073 Fe0.09560976 B0.24585366 O0.58536585,1
Sm0.0832 Ga0.1192 B0.1976 O0.6,1
Fe0.21431615 B0.16829996 Pb0.02172987 O0.59565403,0
B0.17429838 Pb0.28212703 O0.54357459,1
La0.1185677 Cd0.06189234 B0.23191843 O0.58762153,1
K0.14827758 Ti0.04992511 B0.25112332 O0.55067399,0
Sr0.03746676 Ti0.04810249 B0.3123036 O0.60212715,0
Ba0.07079463 V0.18039216 B0.09081527 O0.65799794,1
Li0.00040016 B0.2765106 Sb0.1232493 O0.59983994,1
Tl0.01796407 B0.37553464 Pb0.01710864 O0.58939264,1
Ba0.07786195 V0.18139731 B0.08375421 O0.65698653,1
Sr0.01374046 Li0.04929117 B0.35943293 O0.57753544,1
Sr0.01176092 V0.22974062 B0.06895441 O0.68954406,1
Ba0.09242385 Li0.02447279 B0.31137725 O0.57172611,1
Ti0.02978376 B0.10281518 Pb0.32680539 O0.54059568,1
B0.37069922 Pb0.03662597 O0.59267481,0
Ca0.05280619 Ge0.11197125 B0.22338955 O0.61183301,1
Cd0.14142049 Ge0.07353865 B0.19861722 O0.58642363,1
Sr0.12 V0.02666667 B0.26666667 O0.58666667,1
K0.00040016 Bi0.18687475 B0.21288515 O0.59983994,1
K0.00040016 Bi0.19327731 B0.20648259 O0.59983994,1
Li0.10033296 B0.3245283 Mo0.00954495 O0.56559378,1
Ca0.0013986 V0.22719503 B0.08080808 O0.69059829,1
Sr0.02092537 Ca0.03324808 B0.35666124 O0.58916531,1
Li0.09901873 Mg0.00535236 B0.33630687 O0.55932203,0
Ti0.04347826 Bi0.2173913 B0.13043478 O0.60869565,1
Sr0.01396124 La0.22963117 B0.15919983 O0.59720775,0
B0.37285148 Pb0.03393565 O0.59321287,0
Ba0.10945802 B0.31243358 O0.5781084,0
V0.19406834 Bi0.12637008 B0.00193424 O0.67762734,0
Ba0.01439599 La0.22950136 B0.15898185 O0.5971208,0
B0.3623916 Pb0.0470105 O0.5905979,1
La0.19516799 Ta0.05624764 B0.12608532 O0.62249906,0
